"","tag_serial_number","tag_type","tag_subtype","sensor_type","acoustic_tag_id","acoustic_tag_id_alternative","manufacturer","model","frequency","status","activation_date","battery_estimated_life","battery_estimated_end_date","length","diameter","weight","floating","archive_memory","sensor_slope","sensor_intercept","sensor_range","sensor_range_min","sensor_range_max","sensor_resolution","sensor_unit","sensor_accuracy","sensor_transmit_ratio","accelerometer_algorithm","accelerometer_samples_per_second","owner_organization","owner_pi","financing_project","step1_min_delay","step1_max_delay","step1_power","step1_duration","step1_acceleration_duration","step2_min_delay","step2_max_delay","step2_power","step2_duration","step2_acceleration_duration","step3_min_delay","step3_max_delay","step3_power","step3_duration","step3_acceleration_duration","step4_min_delay","step4_max_delay","step4_power","step4_duration","step4_acceleration_duration","tag_id","tag_device_id"
"173","1400187","acoustic-archival","animal","pressure","A69-9006-11104",NA,"INNOVASEA","ADST-2x",NA,"active",NA,"400",2021-09-11 09:45:00,NA,NA,NA,NA,NA,0,-1,"68",NA,NA,NA,"m",NA,9,NA,NA,"VLIZ","Jolien Goossens",NA,"180","200","H",120,NA,"300","400","H",280,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:2002",848
"174","1400187","acoustic-archival","animal","temperature","A69-9006-11103",NA,"INNOVASEA","ADST-2x",NA,"active",NA,"400",2021-09-11 09:45:00,NA,NA,NA,NA,NA,0,-5,"-5 to 35",NA,NA,NA,"°C",NA,1,NA,NA,"VLIZ","Jolien Goossens",NA,"180","200","H",120,NA,"300","400","H",280,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:2003",848
"175","1400188","acoustic-archival","animal","temperature","A69-9006-11105",NA,"INNOVASEA","ADST-2x",NA,"active",2021-09-13 10:00:00,"400",2022-10-18 10:00:00,NA,NA,NA,NA,NA,0,-5,"-5 to 35",NA,NA,NA,"°C",NA,1,NA,NA,"VLIZ","Jolien Goossens",NA,"180","200","H",120,NA,"300","400","H",280,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:2004",849
"176","1400188","acoustic-archival","animal","pressure","A69-9006-11106",NA,"INNOVASEA","ADST-2x",NA,"active",2021-09-13 10:00:00,"400",2022-10-18 10:00:00,NA,NA,NA,NA,NA,0,-1,"68",NA,NA,NA,"m",NA,9,NA,NA,"VLIZ","Jolien Goossens",NA,"180","200","H",120,NA,"300","400","H",280,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:2005",849
"177","1400189","acoustic-archival","animal","pressure","A69-9006-11108",NA,"INNOVASEA","ADST-2x",NA,"active",2021-09-13 11:00:00,"400",2022-10-18 11:00:00,NA,NA,NA,NA,NA,0,-1,"68",NA,NA,NA,"m",NA,9,NA,NA,"VLIZ","Jolien Goossens",NA,"180","200","H",120,NA,"300","400","H",280,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:2006",850
"178","1400189","acoustic-archival","animal","temperature","A69-9006-11107",NA,"INNOVASEA","ADST-2x",NA,"active",2021-09-13 11:00:00,"400",2022-10-18 11:00:00,NA,NA,NA,NA,NA,0,-5,"-5 to 35",NA,NA,NA,"°C",NA,1,NA,NA,"VLIZ","Jolien Goossens",NA,"180","200","H",120,NA,"300","400","H",280,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:2007",850
"179","1400190","acoustic-archival","animal","pressure","A69-9006-11110",NA,"INNOVASEA","ADST-2x",NA,"active",2021-09-13 12:00:00,"400",2022-10-18 12:00:00,NA,NA,NA,NA,NA,0,-1,"68",NA,NA,NA,"m",NA,9,NA,NA,"VLIZ","Jolien Goossens",NA,"180","200","H",120,NA,"300","400","H",280,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:2008",851
"180","1400190","acoustic-archival","animal","temperature","A69-9006-11109",NA,"INNOVASEA","ADST-2x",NA,"active",2021-09-13 12:00:00,"400",2022-10-18 12:00:00,NA,NA,NA,NA,NA,0,-5,"-5 to 35",NA,NA,NA,"°C",NA,1,NA,NA,"VLIZ","Jolien Goossens",NA,"180","200","H",120,NA,"300","400","H",280,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:2009",851
"181","1400191","acoustic-archival","animal","pressure","A69-9006-11112",NA,"INNOVASEA","ADST-2x",NA,"retrieved",2021-09-13 10:30:00,"400",2022-10-18 10:30:00,NA,NA,NA,NA,NA,0,-1,"68",NA,NA,NA,"m",NA,9,NA,NA,"VLIZ","Jolien Goossens",NA,"180","200","H",120,NA,"300","400","H",280,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:2010",852
"182","1400191","acoustic-archival","animal","temperature","A69-9006-11111",NA,"INNOVASEA","ADST-2x",NA,"retrieved",2021-09-13 10:30:00,"400",2022-10-18 10:30:00,NA,NA,NA,NA,NA,0,-5,"-5 to 35",NA,NA,NA,"°C",NA,1,NA,NA,"VLIZ","Jolien Goossens",NA,"180","200","H",120,NA,"300","400","H",280,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:2011",852
"183","1400192","acoustic-archival","animal","pressure","A69-9006-11114",NA,"INNOVASEA","ADST-2x",NA,"ended",2020-09-11 08:30:00,"400",2021-10-16 08:30:00,NA,NA,NA,NA,NA,0,-1,"68",NA,NA,NA,"m",NA,9,NA,NA,"VLIZ","Jolien Goossens",NA,"180","200","H",120,NA,"300","400","H",280,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:2012",853
"184","1400192","acoustic-archival","animal","temperature","A69-9006-11113",NA,"INNOVASEA","ADST-2x",NA,"ended",2020-09-11 08:30:00,"400",2021-10-16 08:30:00,NA,NA,NA,NA,NA,0,-5,"-5 to 35",NA,NA,NA,"°C",NA,1,NA,NA,"VLIZ","Jolien Goossens",NA,"180","200","H",120,NA,"300","400","H",280,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:2013",853
"185","1400193","acoustic-archival","animal","temperature","A69-9006-11115",NA,"INNOVASEA","ADST-2x",NA,"ended",2020-09-11 08:00:00,"400",2021-10-16 08:00:00,NA,NA,NA,NA,NA,0,-5,"-5 to 35",NA,NA,NA,"°C",NA,1,NA,NA,"VLIZ","Jolien Goossens",NA,"180","200","H",120,NA,"300","400","H",280,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:2014",854
